,acousticness,artist_popularity,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,year,hit
74,0.00218,86.0,0.625,221960,0.842,2QZR5SJcd0ScAJHncwz8w0,0.0,11,0.0634,-3.606,0,2,0.0617,130.035,4,0.537,2012,0
75,0.00163,44.0,0.283,481125,0.944,3QmT40QBlxr4n5AxhOSxkf,0.234,11,0.101,-7.202,0,6,0.18,147.989,4,0.0681,2019,0
76,0.89,62.0,0.554,330772,0.235,0WkJWnMCumm1fnFscdY7Rw,0.00328,10,0.114,-14.609,1,66,0.0342,121.836,4,0.232,2011,0
77,0.00124,41.0,0.607,181270,0.962,2G2WsFEP8lqYr8vg1mPtyI,5.26e-06,1,0.139,-3.072,1,47,0.0575,120.055,4,0.795,2019,0
78,0.082,48.0,0.8,52373,0.917,7oDuL0UHvWVDjVW5i5b9LJ,0.853,6,0.0439,-6.583,0,1,0.0514,110.563,3,0.961,2015,0
79,0.266,63.0,0.793,219920,0.859,1zusIxNqJu8i4g6P6hJ2Qa,0.000356,0,0.133,-3.774,1,69,0.0332,129.912,4,0.964,2008,0
80,0.00701,74.0,0.578,199080,0.866,4kbj5MwxO1bq9wjT5g9HaA,0.0,1,0.257,-3.804,1,36,0.0619,128.038,4,0.619,2014,0
81,0.228,77.5,0.558,271813,0.522,2EcsgXlxz99UMDSPg5T8RF,0.0,2,0.104,-5.857,1,71,0.036,83.977,4,0.228,2012,0
82,3.49e-05,60.0,0.373,203573,0.961,4LtUNqSiFZzm70a7kM8hnc,1.46e-05,2,0.271,-3.16,1,59,0.0996,168.131,4,0.543,2006,0
83,0.306,64.0,0.726,196533,0.693,0revN4noqfEwuc8Vzn73kq,0.0,9,0.12,-5.617,0,56,0.355,99.19,4,0.536,2019,0
84,0.308,81.0,0.868,207680,0.347,0rkzM1FJh4xWCTF1NwDGYN,2e-05,5,0.11,-9.529,1,3,0.0536,110.059,4,0.659,2005,0
85,0.172,68.0,0.731,205933,0.804,7GVUmCP00eSsqc4tzj1sDD,0.00028,11,0.0685,-7.621,0,78,0.0473,107.383,4,0.957,1973,0
86,0.924,70.0,0.533,221733,0.148,4zRweMHazlqCTUe6GvviYf,0.932,0,0.112,-18.275,1,54,0.0329,63.637,4,0.108,2004,0
87,0.806,57.0,0.507,255773,0.198,5mnvqisoDJilY0uCEdT8rG,0.0,2,0.102,-16.089,1,56,0.0324,141.261,4,0.601,1972,0
88,0.949,38.333333333333336,0.386,567920,0.148,2oFgZSzpbXscqwZQyoFIzW,0.792,0,0.0665,-18.921,0,51,0.0367,94.88,4,0.128,2004,0
89,0.00212,61.0,0.619,179946,0.958,46SFeuNs1K5D76D9vCwFuR,2.23e-06,4,0.622,-3.83,1,50,0.0776,150.025,4,0.819,2007,0
