,acousticness,artist_popularity,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,year,hit
108,0.253,55.0,0.505,277400,0.494,2wKkW3MMSzgVjSUZ7mqSbN,6.15e-06,2,0.111,-14.407,1,31,0.0762,141.278,4,0.438,1959,0
109,0.000259,84.0,0.3,548253,0.929,58KPPL1AdLHMvR2O2PZejr,2.26e-06,1,0.329,-3.214,1,67,0.0636,147.116,4,0.59,2004,0
110,0.325,86.0,0.615,210506,0.472,59tg0OPhiHlbsVZ9GFqUk5,0.0,5,0.115,-6.073,0,8,0.0267,80.072,4,0.327,2008,0
111,0.00106,74.0,0.582,200493,0.765,6ISuXA3UCPMtsyEUGUTAyn,0.0506,9,0.344,-6.544,1,61,0.0376,128.164,4,0.528,1999,0
112,0.00418,84.0,0.957,290325,0.46,1CiR9MK8zVPKtGrHe4LFPb,0.000748,1,0.0947,-7.513,1,61,0.325,123.951,4,0.191,2019,0
113,3.27e-05,63.0,0.517,201906,0.596,1ljUMhT0vIaNhMRrf8RYXr,0.00191,4,0.0959,-6.781,1,38,0.0292,110.021,4,0.0945,2006,0
114,0.000674,57.0,0.251,258000,0.954,5BmagRD7Thki6O1zZwbxBy,0.000132,6,0.0975,-2.879,1,67,0.0691,191.059,4,0.264,2003,0
115,0.0327,69.0,0.559,256133,0.487,43TQVltxEHaqCKpSsttaT5,0.0814,6,0.129,-9.349,1,50,0.0266,149.961,4,0.145,2001,0
116,0.144,80.0,0.452,267653,0.563,7JIuqL4ZqkpfGKQhYlrirs,0.0,4,0.143,-6.607,1,72,0.0272,137.715,3,0.209,2009,0
117,0.000139,66.0,0.578,196613,0.892,2YxXuCdbUpil3P7tRjhW1t,0.0111,10,0.215,-7.952,0,61,0.0441,150.253,4,0.892,2005,0
118,0.0416,80.0,0.492,251840,0.81,1YLJVmuzeM2YSUkCCaTNUB,0.00379,7,0.117,-5.315,1,70,0.0847,149.954,4,0.245,2009,0
119,0.0714,77.0,0.763,229640,0.807,3FtYbEfBqAlGO46NUDQSAt,0.28,1,0.348,-3.714,1,78,0.035,103.038,3,0.559,2007,0
120,0.0133,78.0,0.695,209626,0.814,6mVD1SfTvlFAPVi7txFL5H,0.0984,1,0.0601,-5.294,1,65,0.066,105.011,4,0.882,2011,0
121,0.000284,79.0,0.591,247946,0.935,2NniAhAtkRACaMeYt48xlD,0.000278,6,0.142,-2.664,1,67,0.0478,140.043,4,0.736,2012,0
122,0.0603,69.0,0.318,206200,0.958,464HG7mt7NNKtKY0Hco8Y8,4.68e-06,10,0.0981,-2.683,1,55,0.442,163.089,4,0.3,2001,0
123,0.000728,75.0,0.556,191400,0.763,6jrMVRReY24qzCfe1BRrww,6.79e-06,6,0.071,-3.952,0,12,0.0413,138.986,4,0.814,2010,0
