Unnamed: 0,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track_popularity,artist_popularity,year,hit
627,3WvwimacB4Yjo4Rpp9VJ2E,0.0153,0.529,266443,0.893,0.00105,11,0.0989,-4.209,0,0.0666,125.911,4,0.373,37,46.0,2019,0
628,58WnCtoXAG5IBx3rpK8IDM,1.87e-05,0.409,258373,0.974,0.118,8,0.116,-5.274,0,0.085,166.00099999999995,4,0.473,47,59.0,2018,0
632,7dWzkzCjOVVkJDTEeWrCZ0,0.952,0.409,502619,0.0777,0.866,9,0.0979,-23.493,0,0.0408,106.333,4,0.08800000000000001,55,45.0,2018,0
633,0h7YNA68owRr2JPJRNHYoS,0.7440000000000001,0.511,194461,0.545,0.0,1,0.111,-7.1110000000000015,0,0.0304,92.958,3,0.381,48,56.0,2019,0
645,1sZUfl4muDcuWux6KlwaR8,0.00139,0.396,183956,0.503,0.00028,5,0.0725,-4.118,1,0.127,90.339,4,0.6829999999999999,1,72.0,2017,0
647,7dRj3sTBYkNbEx5kdNHriv,0.000477,0.502,233297,0.8170000000000001,0.0,0,0.153,-3.508,1,0.0447,90.024,4,0.617,66,81.0,2018,0
649,3PW5V36seHTLVUMzCLTAMS,0.276,0.299,257199,0.703,0.0436,2,0.0985,-6.625,0,0.0437,74.138,4,0.146,40,37.0,2019,0
651,0wOu7LqfkyRwBZEFokCYpr,0.994,0.451,278572,0.0273,0.959,5,0.11,-19.527,0,0.0507,77.512,4,0.0407,54,58.0,2017,0
661,3IiMnjK7S2PlsPVMuAH7rU,0.000113,0.354,257453,0.943,0.0187,5,0.104,-3.633,1,0.28800000000000003,94.416,4,0.3670000000000001,61,77.0,2018,0
666,1k6CuJq1Y4R73INdNWoGd6,4.92e-05,0.14400000000000002,407173,0.94,0.00377,1,0.229,-4.217,1,0.0947,176.44299999999996,4,0.0891,1,27.0,2019,0
670,4RUrTe5vy6koyePa262Gvd,2.5e-05,0.5820000000000001,223077,0.865,8.93e-06,1,0.34700000000000003,-4.402,1,0.0405,112.965,4,0.412,42,47.0,2018,0
